CMDLINE /usr/bin/python3 main.py
MEM 72.976562 1606092017.1554
MEM 72.976562 1606092017.2557
MEM 72.976562 1606092017.3560
MEM 72.976562 1606092017.4563
MEM 72.976562 1606092017.5567
MEM 72.976562 1606092017.6571
MEM 72.976562 1606092017.7574
MEM 72.976562 1606092017.8577
MEM 73.226562 1606092017.9581
MEM 73.226562 1606092018.0584
MEM 73.226562 1606092018.1587
MEM 73.226562 1606092018.2591
MEM 73.226562 1606092018.3594
MEM 73.226562 1606092018.4597
MEM 73.226562 1606092018.5601
MEM 73.226562 1606092018.6605
MEM 73.226562 1606092018.7608
MEM 73.226562 1606092018.8611
MEM 73.226562 1606092018.9614
MEM 73.226562 1606092019.0619
MEM 73.226562 1606092019.1622
MEM 73.226562 1606092019.2625
MEM 73.226562 1606092019.3628
MEM 73.226562 1606092019.4632
MEM 73.226562 1606092019.5638
MEM 73.226562 1606092019.6641
MEM 73.226562 1606092019.7644
MEM 73.226562 1606092019.8648
MEM 73.226562 1606092019.9651
MEM 73.476562 1606092020.0654
MEM 73.476562 1606092020.1657
MEM 73.476562 1606092020.2661
MEM 73.476562 1606092020.3664
MEM 73.476562 1606092020.4667
MEM 73.476562 1606092020.5672
MEM 73.476562 1606092020.6675
MEM 73.476562 1606092020.7679
MEM 73.476562 1606092020.8682
MEM 73.476562 1606092020.9685
MEM 73.476562 1606092021.0689
MEM 73.476562 1606092021.1692
MEM 73.476562 1606092021.2695
MEM 73.476562 1606092021.3698
MEM 73.476562 1606092021.4702
MEM 73.476562 1606092021.5706
MEM 73.476562 1606092021.6710
MEM 73.476562 1606092021.7713
MEM 73.476562 1606092021.8716
MEM 73.476562 1606092021.9720
MEM 73.476562 1606092022.0723
MEM 73.476562 1606092022.1726
MEM 73.730469 1606092022.2730
MEM 73.730469 1606092022.3733
MEM 73.730469 1606092022.4736
MEM 73.730469 1606092022.5740
MEM 73.730469 1606092022.6743
MEM 73.730469 1606092022.7747
MEM 73.730469 1606092022.8750
MEM 73.730469 1606092022.9753
MEM 73.730469 1606092023.0757
MEM 73.730469 1606092023.1760
MEM 73.730469 1606092023.2763
MEM 73.730469 1606092023.3767
MEM 73.730469 1606092023.4770
MEM 73.730469 1606092023.5774
MEM 73.730469 1606092023.6776
MEM 73.730469 1606092023.7779
MEM 73.730469 1606092023.8783
MEM 73.730469 1606092023.9786
MEM 73.730469 1606092024.0788
MEM 73.730469 1606092024.1793
MEM 73.730469 1606092024.2796
MEM 73.730469 1606092024.3799
MEM 73.730469 1606092024.4803
MEM 73.730469 1606092024.5806
MEM 73.980469 1606092024.6809
MEM 73.980469 1606092024.7813
MEM 73.980469 1606092024.8816
MEM 73.980469 1606092024.9819
MEM 73.980469 1606092025.0823
MEM 73.980469 1606092025.1826
MEM 73.980469 1606092025.2828
MEM 73.980469 1606092025.3832
MEM 73.980469 1606092025.4835
MEM 73.980469 1606092025.5838
MEM 73.980469 1606092025.6841
MEM 73.980469 1606092025.7845
MEM 73.980469 1606092025.8848
MEM 73.980469 1606092025.9851
MEM 73.980469 1606092026.0855
MEM 73.980469 1606092026.1858
MEM 73.980469 1606092026.2861
MEM 73.980469 1606092026.3866
MEM 73.980469 1606092026.4868
MEM 73.980469 1606092026.5872
MEM 73.980469 1606092026.6875
MEM 73.980469 1606092026.7878
MEM 73.980469 1606092026.8882
MEM 73.980469 1606092026.9885
MEM 74.230469 1606092027.0888
MEM 74.230469 1606092027.1892
MEM 74.230469 1606092027.2895
MEM 74.230469 1606092027.3899
MEM 74.230469 1606092027.4902
MEM 74.230469 1606092027.5905
MEM 74.230469 1606092027.6908
MEM 74.230469 1606092027.7912
MEM 74.230469 1606092027.8915
MEM 74.230469 1606092027.9918
MEM 74.230469 1606092028.0922
MEM 74.230469 1606092028.1925
MEM 74.230469 1606092028.2928
MEM 74.230469 1606092028.3932
MEM 74.230469 1606092028.4935
MEM 74.230469 1606092028.5938
MEM 74.230469 1606092028.6941
MEM 74.230469 1606092028.7945
MEM 74.230469 1606092028.8948
MEM 74.230469 1606092028.9951
MEM 74.230469 1606092029.0955
MEM 74.230469 1606092029.1959
MEM 74.230469 1606092029.2963
MEM 74.230469 1606092029.3966
MEM 74.230469 1606092029.4970
MEM 74.480469 1606092029.5973
MEM 74.480469 1606092029.6977
MEM 74.480469 1606092029.7980
