CMDLINE /usr/bin/python3 main.py
MEM 142.128906 1606092266.5436
MEM 142.128906 1606092266.6440
MEM 142.128906 1606092266.7443
MEM 142.128906 1606092266.8446
MEM 142.128906 1606092266.9450
MEM 142.128906 1606092267.0453
MEM 142.128906 1606092267.1456
MEM 142.128906 1606092267.2460
MEM 142.128906 1606092267.3463
MEM 142.128906 1606092267.4467
MEM 142.128906 1606092267.5470
MEM 142.128906 1606092267.6473
MEM 142.128906 1606092267.7477
MEM 142.128906 1606092267.8480
MEM 142.378906 1606092267.9483
MEM 142.378906 1606092268.0487
MEM 142.378906 1606092268.1490
MEM 142.378906 1606092268.2494
MEM 142.378906 1606092268.3497
MEM 142.378906 1606092268.4501
MEM 142.378906 1606092268.5504
MEM 142.378906 1606092268.6508
MEM 142.378906 1606092268.7511
MEM 142.378906 1606092268.8515
MEM 142.378906 1606092268.9518
MEM 142.378906 1606092269.0522
MEM 142.378906 1606092269.1525
MEM 142.378906 1606092269.2529
MEM 142.378906 1606092269.3532
MEM 142.378906 1606092269.4536
MEM 142.378906 1606092269.5540
MEM 142.378906 1606092269.6544
MEM 142.378906 1606092269.7547
MEM 142.378906 1606092269.8551
MEM 142.378906 1606092269.9554
MEM 142.378906 1606092270.0557
MEM 142.632812 1606092270.1561
MEM 142.632812 1606092270.2564
MEM 142.632812 1606092270.3567
MEM 142.632812 1606092270.4571
MEM 142.632812 1606092270.5574
MEM 142.632812 1606092270.6577
MEM 142.632812 1606092270.7581
MEM 142.632812 1606092270.8584
MEM 142.632812 1606092270.9588
MEM 142.632812 1606092271.0592
MEM 142.632812 1606092271.1596
MEM 142.632812 1606092271.2599
MEM 142.632812 1606092271.3602
MEM 142.632812 1606092271.4606
MEM 142.632812 1606092271.5628
MEM 142.632812 1606092271.6632
MEM 142.632812 1606092271.7636
MEM 142.632812 1606092271.8639
MEM 142.632812 1606092271.9643
MEM 142.632812 1606092272.0646
MEM 142.632812 1606092272.1650
MEM 142.632812 1606092272.2653
MEM 142.632812 1606092272.3656
MEM 142.632812 1606092272.4660
MEM 142.882812 1606092272.5664
MEM 142.882812 1606092272.6667
MEM 142.882812 1606092272.7670
MEM 142.882812 1606092272.8674
MEM 142.882812 1606092272.9677
MEM 142.882812 1606092273.0680
MEM 142.882812 1606092273.1684
MEM 142.882812 1606092273.2687
MEM 142.882812 1606092273.3690
MEM 142.882812 1606092273.4694
MEM 142.882812 1606092273.5697
MEM 142.882812 1606092273.6701
MEM 142.882812 1606092273.7704
MEM 142.882812 1606092273.8708
MEM 142.882812 1606092273.9711
MEM 142.882812 1606092274.0714
MEM 142.882812 1606092274.1718
MEM 142.882812 1606092274.2721
MEM 142.882812 1606092274.3724
MEM 142.882812 1606092274.4728
MEM 142.882812 1606092274.5731
MEM 142.882812 1606092274.6734
MEM 142.882812 1606092274.7738
MEM 142.882812 1606092274.8741
MEM 143.132812 1606092274.9745
MEM 143.132812 1606092275.0748
MEM 143.132812 1606092275.1751
MEM 143.132812 1606092275.2755
MEM 143.132812 1606092275.3758
MEM 143.132812 1606092275.4761
MEM 143.132812 1606092275.5765
MEM 143.132812 1606092275.6768
MEM 143.132812 1606092275.7772
MEM 143.132812 1606092275.8775
MEM 143.132812 1606092275.9779
MEM 143.132812 1606092276.0782
MEM 143.132812 1606092276.1787
MEM 143.132812 1606092276.2790
MEM 143.132812 1606092276.3793
MEM 143.132812 1606092276.4797
MEM 143.132812 1606092276.5800
MEM 143.132812 1606092276.6803
MEM 143.132812 1606092276.7807
MEM 143.132812 1606092276.8810
MEM 143.132812 1606092276.9813
MEM 143.132812 1606092277.0817
MEM 143.132812 1606092277.1820
MEM 143.132812 1606092277.2824
MEM 143.132812 1606092277.3827
MEM 143.382812 1606092277.4831
MEM 143.382812 1606092277.5834
MEM 143.382812 1606092277.6838
MEM 143.382812 1606092277.7841
MEM 143.382812 1606092277.8844
MEM 143.382812 1606092277.9848
MEM 143.382812 1606092278.0851
MEM 143.382812 1606092278.1855
MEM 143.382812 1606092278.2858
MEM 143.382812 1606092278.3861
MEM 143.382812 1606092278.4865
MEM 143.382812 1606092278.5868
MEM 143.382812 1606092278.6872
MEM 143.382812 1606092278.7875
MEM 143.382812 1606092278.8878
MEM 143.382812 1606092278.9881
MEM 143.382812 1606092279.0885
MEM 143.382812 1606092279.1888
MEM 143.382812 1606092279.2892
MEM 143.382812 1606092279.3895
MEM 143.382812 1606092279.4899
MEM 143.382812 1606092279.5902
MEM 143.382812 1606092279.6906
MEM 143.382812 1606092279.7908
MEM 143.382812 1606092279.8912
MEM 143.382812 1606092279.9916
MEM 143.632812 1606092280.0919
MEM 143.632812 1606092280.1922
MEM 143.632812 1606092280.2926
MEM 143.632812 1606092280.3929
MEM 143.632812 1606092280.4933
MEM 143.632812 1606092280.5936
MEM 143.632812 1606092280.6939
